rho,1beta,1eta,1L,1gamma,2beta,2eta,2L,2gamma,3beta,3eta,3L,3gamma,6beta,6eta,6L,6gamma,10beta,10eta,10L,10gamma
2.991525,0.6848277519313265,0.9428456594036385,9.573809538735858,2.4620441204435473,0.6671026887279528,0.9958706291031112,19.506436977371152,1.2763358965278895,0.6658243723673578,0.99969474445374,29.498722900871016,0.8472356140748569,0.6657223741252198,0.9999998747450518,59.49787284571752,0.42018303634910076,0.6657223322565682,0.99999999999617,99.49787223361923,0.251261654532719
2.97905,0.6836060219072569,0.9425534804371862,9.57160077714325,2.461849126344626,0.6657240243860163,0.9958248451528381,19.503434266658225,1.2764737116775815,0.664426735900535,0.9996895324155112,29.495579087305252,0.8473214998224703,0.66432256244151,0.9999998703586196,59.49470769501742,0.4202053884712034,0.6643225189251801,0.9999999999959421,99.49470705644737,0.2512696477986014
2.966575,0.6823750015181813,0.9422583798712013,9.569369625563931,2.4616521692140023,0.6643340206460442,0.9957783027019615,19.500395481748857,1.2766129584832617,0.6630173849050399,0.9996842013753313,29.49239578770939,0.8474084375606559,0.6629109778812393,0.9999998657919625,59.49150238892769,0.4202280265400048,0.6629109326426269,0.9999999999956991,99.49150172257148,0.25127774299360855
2.9541,0.6811345876018144,0.9419603147654799,9.567115750311265,2.46145321993944,0.6629325394938026,0.9957309850813577,19.497319981106294,1.2767536590237298,0.6615961721237871,0.9996787479291206,29.48917225827246,0.8474964464700135,0.6614874712986797,0.9999998610365703,59.48825615843933,0.42025095607660745,0.6614874242593543,0.9999999999954415,99.48825546290877,0.25128594207993266
2.941625,0.6798846755265145,0.9416592413543167,9.564838811190361,2.4612522488424604,0.6615194407285634,0.9956828751668397,19.49420710818931,1.2768958358257154,0.6601629478414973,0.9996731685557555,29.48590773652952,0.8475855461940551,0.660051891018237,0.9999998560834785,59.48496821478238,0.4202741827451177,0.6600518420957242,0.9999999999951653,99.48496748861105,0.2512942470704542
2.92915,0.6786251591666401,0.9413551150270361,9.56253846134222,2.461049225664775,0.6600945819215962,0.9956339553643565,19.49105619101979,1.277039511875041,0.6587175598339522,0.9996674596123789,29.482601440778307,0.8476757568530804,0.6586040827805884,0.9999998509232396,59.48163774878736,0.42029771235730073,0.6586040318881342,0.9999999999948717,99.48163699042537,0.25130266003039253
2.916675,0.6773559308774619,0.9410478903079788,9.560214347083472,2.460844119554348,0.658657818373787,0.9955842075946348,19.487866541735535,1.2771847106281173,0.6572598533160271,0.9996616173294767,29.47925256947439,0.8477670990585265,0.6571438896874363,0.9999998455458967,59.47826393022128,0.420321550877425,0.6571438367337609,0.999999999994558,99.4782631380302,0.2513111830790151
2.9042,0.6760768814696178,0.9407375208359361,9.557866107741578,2.460636899051054,0.6572090030723619,0.9955336132772467,19.48463745612781,1.2773314560237776,0.655789670888458,0.9996556378057403,29.47586030060341,0.8478595939278456,0.6556711521448423,0.999999839940949,59.47484590709823,0.42034570442728997,0.6556710970338742,0.9999999999942226,99.47484507934534,0.25131981839141854
2.891725,0.674787900183106,0.9404239593430079,9.555493375485328,2.460427532071946,0.6557479866467038,0.9954821533140606,19.481368213162956,1.2774797724954507,0.6543068524833142,0.9996495170026882,29.4724237910296,0.847953263099918,0.6541857078050907,0.9999998340973242,59.47138280496199,0.42037017929146303,0.6541856504356864,0.9999999999938647,99.47138193981425,0.25132856820037963
2.87925,0.67348887466081,0.9401071576328628,9.553095775150497,2.4602159858960815,0.6542746173232359,0.995429808072073,19.478058074487436,1.2776296849837117,0.6528112353081426,0.9996432507390305,29.46894217581966,0.8480481287510163,0.6526873915070457,0.9999998280033386,59.46787372614065,0.42039498192271957,0.6526873317726901,0.999999999993482,99.46787282165823,0.25133743479827914
2.866775,0.6721796909215454,0.9397870665583867,9.550672924060533,2.460002227148906,0.6527887408793606,0.9953765573655712,19.47470628391576,1.2777812189491873,0.6513026537887439,0.9996368346847738,29.46541456754064,0.8481442136113558,0.6511760352149498,0.9999998216466622,59.464317748971105,0.420420118947705,0.6511759730034364,0.9999999999930735,99.4643168031004,0.25134642053910494
2.8543,0.6708602333326209,0.9394636359987001,9.548224431842028,2.459786221786212,0.6512902005964283,0.9953223804376147,19.471312066900452,1.2779344003858588,0.6497809395105449,0.9996302643550515,29.46184005553085,0.8482415409822576,0.6496514679556192,0.9999998150142759,59.46071392699233,0.42044559717282665,0.6496514031487105,0.9999999999926356,99.46071293755855,0.25135552784053433
2.841825,0.6695303845819065,0.9391368148355236,9.545749900234872,2.459567935077621,0.6497788372117219,0.9952672559407983,19.467874629983477,1.2780892558347587,0.648245921158532,0.9996235351036549,29.45821770514254,0.8483401347539349,0.6481135157539842,0.9999998080924337,59.457061288105734,0.4204714235903893,0.6481134482270483,0.9999999999921685,99.45706025280484,0.2513647591861049
2.82935,0.6681900256494031,0.9388065509288612,9.543248922896915,2.4593473315895666,0.6482544888694346,0.9952111619172651,19.464393160228294,1.2782458123980793,0.6466974244557037,0.9996166421162548,29.454546556955183,0.848440019423939,0.6465620015669286,0.9999998008666107,59.45335883370151,0.4204976053849772,0.6465619311885529,0.9999999999916679,99.45335775009174,0.2513741171274696
